Id,Choice
1,0.197362
2,0.698270
3,0.102574
4,0.166184
5,0.395178
6,0.235255
7,0.523000
8,1
9,0.140576
10,0.718847
11,0.317317
12,0.919932
13,0.524253
14,0.423666
15,0.897339
16,1
17,0.953370
18,0.289817
19,0.961023
20,0.612015
21,0.798393
22,0
23,0.704814
24,0.770081
25,0
26,0
27,0.053011
28,0.367448
29,0.158497
30,0.735709
31,0.031503
32,1
33,0.862196
34,0.578978
35,0.554973
36,0.469301
37,0.459992
38,0.339670
39,0.666223
40,0.436915
41,0.639610
42,0.120074
43,0.207515
44,0.990266
45,0.182925
46,0.600532
47,0.682662
48,0.023772
49,0.221829
50,0.534095
51,0.075582
52,0.089107
53,0.017656
54,0.397943
55,1
56,0.300701
57,0.034020
58,0.490133
59,0.034539
60,1
61,0.434991
62,0.595216
63,0.073333
64,0.448045
65,0.641695
66,0.184879
67,0.483063
68,0.285475
69,0.549186
70,0.247315
71,0.852567
72,0.222075
73,0.308574
74,0.444863
75,0.791341
76,0.777377
77,0.539051
78,0.660670
79,0.290652
80,0
81,0.375156
82,0
83,0.099710
84,0.536491
85,0.576797
86,0.184609
87,0.494790
88,0.216886
89,0.841214
90,0.507005
91,0.308951
92,0.065820
93,0.708637
94,1
95,0.353555
96,0.123246
97,0.716237
98,0.695450
99,0.610515
100,0.475550
101,0.424364
102,1
103,0.970913
104,0.322955
105,0.384160
106,0.561192
107,0.327856
108,0.580899
109,0.474437
110,0.610759
111,0.353462
112,0.250727
113,1
114,0.473506
115,1
116,0.848806
117,0.513548
118,1
119,0.877991
120,0.750828
121,1
122,0.869937
123,0
124,0.563863
125,0.629277
126,0.871944
127,0.663175
128,0.130577
129,0.430063
130,0.827341
131,0.605885
132,0.371549
133,0.221647
134,0.950496
135,0.049411
136,0.471966
137,1
138,0.293494
139,0.621385
140,0.071650
141,0.952659
142,0.922479
143,0.724214
144,0.972465
145,0.314247
146,0
147,0.187884
148,0
149,0.550183
150,0.893047
151,0.144949
152,0.035805
153,1
154,0.952737
155,0.277023
156,0.112088
157,0.826900
158,1
